基金代號,基金名稱,標的指數/追蹤指數名稱,總機,基金類型,英文名稱,地址,董事長,發言人,總經理,代理發言人,投資經理人,統一編號,總代理人,上市日期,成立日期,發行單位數/轉換數,過戶機構,過戶電話,過戶地址,指數股票型基金(ETF)之標的指數是否包含外國成份股,備註
00673R,元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日反向1倍指數股票型期貨信託基金,標普高盛原油日報酬反向一倍ER指數,02-27175555,槓桿/反向指數股票型基金,Yuanta S&P GSCI Crude Oil 1x Inverse ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,洪佑銘,42451152,,105/10/07,105/09/30,"999,703,000",臺灣集中保管結算所股份有限公司,02-27195805,台北市復興北路363號11樓,是,
00674R,元大標普油金傘型期貨信託基金之元大標普高盛黃金ER單日反向1倍指數股票型期貨信託基金,標普高盛黃金日報酬反向一倍ER指數,02-27175555,槓桿/反向指數股票型基金,Yuanta S&P GSCI Gold 1x Inverse ER FuturesETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳易廷,42451168,,105/10/07,105/09/30,"49,103,000",臺灣集中保管結算所股份有限公司,02-27195805,台北市復興北路363號11樓,是,
00675L,富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日正向兩倍證券投資信託基金,臺灣證券交易所發行量加權股價日報酬正向兩倍指數,(02)8771-6688,槓桿/反向指數股票型基金,Fubon TAIEX Daily 2X  Leveraged ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,林威宇,42450837,富邦投信,105/10/05,105/09/23,"48,786,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
00676R,富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日反向一倍證券投資信託基金,臺灣證券交易所發行量加權股價日報酬反向一倍指數,(02)8771-6688,槓桿/反向指數股票型基金,Fubon TAIEX Daily-1X Inverse ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,陳仲愷,42450843,富邦投信,105/10/05,105/09/23,"427,011,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
00677U,富邦標普500波動率短期期貨ER指數股票型期貨信託基金,標普500波動率短期期貨ER指數,(02)8771-6688,指數股票型期貨信託基金,Fubon S&P 500 VIX  Short-Term Futures ETF,台北市敦化南路一段108號8樓,史綱,史綱,李明州,李明州,楊邦珩,42460390,富邦投信,105/12/30,105/12/22,"1,486,708,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
678,群益那斯達克生技證券投資信託基金,那斯達克生技指數(NBI),(02)27067688,國外成分證券指數股票型基金,CAPITAL NASDAQ BIOTECHNOLOGY INDEX EXCHANGE,台北市大安區敦化南路二段69號15樓,賴政昇,林慧玟,陳明輝,無,曾盈甄,42465424,無,106/01/16,106/01/09,"8,448,000",群益證券投資信託股份有限公司,(02)27067688,台北市大安區敦化南路二段69號15樓,是,
00680L,元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日正向2倍證券投資信託基金,ICE美國政府20+年期債券2倍槓桿指數,02-27175555,槓桿/反向指數股票型基金,Yuanta Daily U.S. Treasury 20+ Year Bond Bull 2X ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳柏彰,42461567,,106/01/17,106/01/11,"1,297,076,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
00681R,元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日反向1倍證券投資信託基金,ICE美國政府20+年期債券1倍反向指數,02-27175555,槓桿/反向指數股票型基金,Yuanta Daily U.S. Treasury 20+ Year Bond Bear 1X ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,李政儒,42461588,,106/01/17,106/01/11,"10,594,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
00682U,元大標普美元指數傘型期貨信託基金之元大標普美元ER指數股票型期貨信託基金,標普美元ER指數,02-27175555,指數股票型期貨信託基金,Yuanta S&P US Dollar ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,黃議玄,42469717,,106/03/14,106/03/06,"10,144,000",臺灣集中保管結算所股份有限公司,02-27195805,臺北市復興北路363號11樓,是,
00683L,元大標普美元指數傘型期貨信託基金之元大標普美元ER單日正向2倍指數股票型期貨信託基金,標普美元日報酬正向兩倍ER指數,02-27175555,槓桿/反向指數股票型基金,Yuanta S&P US Dollar 2x Leverage ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳易廷,42469738,,106/03/14,106/03/06,"38,434,000",臺灣集中保管結算所股份有限公司,02-27195805,臺北市復興北路363號11樓,是,
00684R,元大標普美元指數傘型期貨信託基金之元大標普美元ER單日反向1倍指數股票型期貨信託基金,標普美元日報酬反向一倍ER指數,02-27175555,槓桿/反向指數股票型基金,Yuanta S&P US Dollar 1x Inverse ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,潘昶安,42469723,,106/03/14,106/03/06,"7,688,000",臺灣集中保管結算所股份有限公司,02-27195805,臺北市復興北路363號11樓,是,
00685L,群益臺灣加權指數ETF傘型證券投資信託基金之群益臺灣加權指數單日正向2倍證券投資信託基金,臺灣證券交易所發行量加權股價日報酬正向兩倍指數,(02)27067688,槓桿/反向指數股票型基金,CAPITAL TAIEX DAILY LEVERAGED 2X ETF,台北市大安區敦化南路二段69號15樓,賴政昇,林慧玟,陳明輝,無,洪祥益,42481276,無,106/03/30,106/03/23,"5,639,000",群益證券投資信託股份有限公司,(02)27067688,台北市大安區敦化南路二段69號15樓,否,
00686R,群益臺灣加權指數ETF傘型證券投資信託基金之群益臺灣加權指數單日反向1倍證券投資信託基金,臺灣證券交易所發行量加權股價日報酬反向一倍指數,(02)27067688,槓桿/反向指數股票型基金,CAPITAL TAIEX DAILY INVERSED -1X ETF,台北市大安區敦化南路二段69號15樓,賴政昇,林慧玟,陳明輝,無,洪祥益,42481260,無,106/03/30,106/03/23,"45,276,000",群益證券投資信託股份有限公司,(02)27067688,台北市大安區敦化南路二段69號15樓,否,
00688L,國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日正向2倍證券投資信託基金,彭博20年期(以上)美國公債單日正向2倍指數,227008399,槓桿/反向指數股票型基金,Cathay US Treasury 20+ YR Lev 2X ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游日傑,42482747,國泰證券投資信託股份有限公司,106/04/13,106/04/06,"324,615,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
00689R,國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日反向1倍證券投資信託基金,彭博20年期(以上)美國公債單日反向1倍指數,227008399,槓桿/反向指數股票型基金,Cathay US Treasury 20+ YR Inv 1X ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游日傑,42482731,國泰證券投資信託股份有限公司,106/04/13,106/04/06,"7,889,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
690,兆豐臺灣藍籌30ETF傘型證券投資信託基金之兆豐臺灣藍籌30 ETF證券投資信託基金,藍籌30指數,(02)21758388,國內成分證券指數股票型基金,Mega Taiwan Blue Chip 30 ETF,台北市松山區復興北路167號17樓,陳佩君,黃大川,NA,NA,吳朋鴻,42482107,無,106/03/31,106/03/27,"218,283,000",兆豐國際證券投資信託股份有限公,(02)21758388,台北市松山區復興北路167號17樓,否,
00691R,兆豐國際臺灣藍籌30ETF傘型證券投資信託基金之兆豐國際臺灣藍籌30單日反向一倍ETF證券投資信託基金,藍籌30反向一倍指數,(02)21758388,槓桿/反向指數股票型基金,Mega Taiwan Blue Chip 30 Daily Inverse ETF,台北市松山區復興北路167號17樓,程聰仁,陳駿賢,陳駿賢,陳佩君,吳朋鴻　,42482113,無,106/03/31,106/03/27,"2,106,000",兆豐國際證券投資信託股份有限公,(02)21758388,台北市松山區復興北路167號17樓,否,
692,富邦臺灣公司治理100證券投資信託基金,臺灣證券交易所公司治理100指數,(02)8771-6688,國內成分證券指數股票型基金,Fubon TWSE Corporate Governance 100 ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,溫芳儀,42482423,富邦證券投資信託股份有限公司,106/05/17,106/05/04,"636,780,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
00693U,街口標普高盛黃豆ER指數股票型期貨信託基金,標普高盛黃豆ER指數(S&P GSCI Soybeans ER Index),(02)2750-5555,指數股票型期貨信託基金,JKO S&P GSCI Soybeans ER Futures ETF,10666臺北市大安區市民大道三段206號9樓,高武忠,王皓正,王皓正,N/A,鍾元怡,42484858,,106/04/25,106/04/17,"11,166,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,臺北市復興北路363號11樓,是,
00698L,元大美國政府7至10年期債券ETF傘型證券投資信託基金之元大美國政府7至10年期債券單日正向2倍證券投資信託基金,ICE美國政府7-10年期債券2倍槓桿指數,(02)27175555,槓桿/反向指數股票型基金,Yuanta Daily U.S. Treasury 7-10 Year Bond Bull 2X ETF,台北市中山區南京東路三段219號11樓,黃古彬,劉宗聖,劉宗聖,黃昭棠,周宜縉,42469759,,106/06/23,106/06/15,"1,149,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
00699R,元大美國政府7至10年期債券ETF傘型證券投資信託基金之元大美國政府7至10年期債券單日反向1倍證券投資信託基金,ICE美國政府7-10年期債券1倍反向指數,(02)27175555,槓桿/反向指數股票型基金,Yuanta Daily U.S. Treasury 7-10 Year Bond Bear 1X ETF,台北市中山區南京東路三段219號11樓,黃古彬,劉宗聖,劉宗聖,黃昭棠,周宜縉,42469765,,106/06/23,106/06/15,"714,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
700,富邦恒生國企ETF證券投資信託基金,恒生中國企業指數,(02)8771-6688,國外成分證券指數股票型基金,Fubon Hang Seng China Enterprises  ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,楊貽甯,42464918,富邦證券投資信託股份有限公司,106/07/28,106/07/21,"20,983,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
701,國泰低波動ETF傘型證券投資信託基金之臺灣低波動股利精選30證券投資信託基金,臺灣指數公司低波動精選30指數,227008399,國內成分證券指數股票型基金,Cathay TIP TAIEX +Low Volatility Select 30 ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游日傑,42530591,國泰投信,106/08/17,106/08/09,"279,891,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,否,
702,國泰低波動ETF傘型證券投資信託基金之美國標普500低波動高股息證券投資信託基金,標普500低波動高股息指數,227008399,國外成分證券指數股票型基金,Cathay S&P 500 Low Volatility High,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,鄭立誠,42530608,國泰證券投資信託股份有限公司,106/08/17,106/08/09,"6,688,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
703,台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI中國證券投資信託基金,MSCI中國指數,2501-3838,國外成分證券指數股票型基金,Taishin MSCI China ETF,台北市中山區德惠街9-1號1樓,吳光雄,葉柱均,葉柱均,NA,王嘉豪,42528997,NA,106/08/10,106/08/02,"11,550,000",台灣集中保管結算所股份有限公司,27195805,台北市復興北路363號11樓,是,
00704L,台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI台灣單日正向2倍證券投資信託基金,MSCI台灣正向2倍指數,2501-1000,槓桿/反向指數股票型基金,Taishin MSCI Taiwan Daily Leveraged 2X ETF,台北市中山區建國北路一段96號13樓,吳火生,閰正宇,閰正宇,NA,王嘉豪,42528976,NA,106/08/10,106/08/02,"1,378,000",台新證券投資信託股份有限公司,2501-1000,台北市中山區建國北路一段96號13樓,否,
00705R,台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI台灣單日反向1倍證券投資信託基金,MSCI台灣反向1倍指數,2501-1000,槓桿/反向指數股票型基金,Taishin MSCI Taiwan Daily Inverse ETF,台北市中山區建國北路一段96號13樓,吳火生,閻正宇,閻正宇,NA,葉松炫,42528960,NA,106/08/10,106/08/02,"1,815,000",台新證券投資信託股份有限公司,2501-1000,台北市中山區建國北路一段96號13樓,否,
00706L,元大標普金日傘型期貨信託基金之元大標普日圓ER單日正向2倍指數股票型期貨信託基金,標普日圓期貨日報酬正向2倍ER指數,02-27175555,槓桿/反向指數股票型基金,Yuanta S&P Japanese Yen 2x Leverage ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳易廷,42529996,,106/09/01,106/08/23,"399,084,000",臺灣集中保管結算所股份有限公司,02-27195805,臺北市復興北路363號11樓,是,
00707R,元大標普金日傘型期貨信託基金之元大標普日圓ER單日反向1倍指數股票型期貨信託基金,標普日圓期貨日報酬反向1倍ER指數,02-27175555,槓桿/反向指數股票型基金,Yuanta S&P Japanese Yen 1x Inverse ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,黃議玄,42529975,,106/09/01,106/08/23,"5,855,000",臺灣集中保管結算所股份有限公司,02-27195805,臺北市復興北路363號11樓,是,
00708L,元大標普金日傘型期貨信託基金之元大標普高盛黃金ER單日正向2倍指數股票型期貨信託基金,標普高盛黃金日報酬正向兩倍ER指數,02-27175555,槓桿/反向指數股票型基金,Yuanta S&P GSCI Gold 2x Leveraged ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,潘昶安,42530001,,106/09/01,106/08/23,"41,573,000",臺灣集中保管結算所股份有限公司,02-27195805,臺北市復興北路363號11樓,是,
709,富邦富時歐洲ETF證券投資信託基金,富時發展歐洲指數,(02)8771-6688,國外成分證券指數股票型基金,Fubon FTSE Developed Europe ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,溫芳儀,42529243,富邦證券投資信託股份有限公司,106/08/15,106/08/07,"12,460,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00710B,復華全球收益ETF傘型證券投資信託基金之復華1至5年期非投資等級債券證券投資信託基金,彭博1至5年期美元高收益債券(不含中國)發行量五億美元產業10%上限指數,(02)8161-6800,國外成分證券指數股票型基金,Fuh Hwa 1-5 Yr High Yield ETF,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,許忠成,42529932,,106/08/21,106/08/09,"304,261,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,是,
00711B,復華全球收益ETF傘型證券投資信託基金之復華新興市場10年期以上債券證券投資信託基金,彭博新興市場10年期以上美元投資等級債券(不含中國)國家10%上限指數,(02)8161-6800,國外成分證券指數股票型基金,Fuh Hwa Emerging Market 10+ Yr Bond ETF,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,許忠成,42529953,,106/08/21,106/08/09,"886,761,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,是,
712,復華全球收益ETF傘型證券投資信託基金之復華富時不動產證券化證券投資信託基金,富時NAREIT抵押權型不動產投資信託指數,(02)8161-6800,國外成分證券指數股票型基金,Fuh Hwa FTSE Mortgage REITs ETF,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,許忠成,42529948,,106/08/21,106/08/09,"2,143,011,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,是,
713,元大台灣高股息低波動ETF證券投資信託基金,臺灣指數公司特選高股息低波動指數,02-27175555,國內成分證券指數股票型基金,Yuanta Taiwan High Dividend Low Volatility ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,蔡宗勳,42540916,,106/09/27,106/09/19,"826,512,000",臺灣集中保管結算所股份有限公司,02-27195805,台北市復興北路363號11樓,否,
714,群益道瓊美國地產ETF證券投資信託基金,道瓊美國地產指數(Dow Jones U.S. Real Estate Index),(02)27067688,國外成分證券指數股票型基金,CAPITAL DOW JONES U.S. REAL ESTATE  INDEX EXCHANGE TRADED FUND,台北市大安區敦化南路二段69號15樓,賴政昇,林慧玟,陳明輝,無,李鈺涵,42543131,無,106/10/27,106/10/20,"42,567,000",群益證券投資信託股份有限公司,(02)27067688,台北市大安區敦化南路二段69號15樓,是,
00715L,街口標普高盛布蘭特原油ER單日正向2倍指數股票型期貨信託基金,標普高盛布蘭特原油日報酬正向兩倍ER指數,(02)2750-5555,槓桿/反向指數股票型基金,JKO S&P GSCI Brent Crude 2x Leveraged ER Futures ETF,10666臺北市大安區市民大道三段206號9樓,高武忠,王皓正,王皓正,N/A,羅縢閎,42546947,,106/11/16,106/11/08,"308,384,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,臺北市復興北路363號11樓,是,
00716R,華頓標普高盛布蘭特原油傘型期貨信託基金之華頓標普高盛布蘭特原油ER單日反向1倍指數股票型期貨信託基金,標普高盛布蘭特原油日報酬反向一倍ER指數,(02)2750-5555,指數股票型期貨信託基金,Paradigm S&P GSCI Brent Crude 1X Inverse ER Futures ETF,10666臺北市大安區市民大道三段206號9樓,王律傑,N/A,N/A,王皓正,黃昇平,42546952,,106/11/16,106/11/08,"158,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,臺北市復興北路363號11樓,是,
717,富邦標普美國特別股ETF證券投資信託基金,標普美國特別股指數,(02)8771-6688,國外成分證券指數股票型基金,Fubon S&P US Preferred Stock ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,蘇筱婷,42546448,富邦證券投資信託股份有限公司,106/11/29,106/11/13,"213,605,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
728,第一金臺灣工業菁英30ETF傘型證券投資信託基金之第一金臺灣工業菁英30 ETF證券投資信託基金,臺灣工業菁英30指數,(02)2504-1000,國內成分證券指數股票型基金,FSITC Taiwan Industry Elite 30 ETF,台北市10477民權東路三段6號7樓,薛淑梅,羅瑞民,陳如中,李文惠,曾萬勝,72949242,無,107/04/18,107/04/10,"96,423,000",臺灣集中保管結算所股份有限公司,02-27195805,&nbsp;台北市復興北路363號11樓,否,
00729R,第一金臺灣工業菁英30ETF傘型證券投資信託基金之第一金臺灣工業菁英30單日反向一倍ETF證券投資信託基金,臺灣工業菁英30日報酬反向一倍指數,(02)2504-1000,槓桿/反向指數股票型基金,FSITC Taiwan Industry Elite 30 Daily -1X Inverse ETF,台北市10477民權東路三段6號7樓,薛淑梅,羅瑞民,陳如中,李文惠,程懷毅,72949221,無,107/04/18,107/04/10,"598,000",&nbsp;臺灣集中保管結算所股份有,02-27195805,&nbsp;台北市復興北路363號11樓,否,
730,富邦道瓊臺灣優質高息30ETF證券投資信託基金,道瓊斯台灣優質高股息30指數,(02)8771-6688,國內成分證券指數股票型基金,Fubon Dow Jones Taiwan High-Quality Dividend 30 ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,洪珮甄,72949931,富邦證券投資信託股份有限公司,107/02/08,107/01/30,"92,544,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
731,復華富時台灣高股息低波動證券投資信託基金,富時台灣高股息低波動指數,(02)8161-6800,國內成分證券指數股票型基金,Fuh Hwa FTSE Taiwan High Div Low Vol ETF,台北市中山區八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,劉昌祚,72957164,,107/04/20,107/04/12,"15,600,000",台灣集中保管結算所股份有限公司,(02)2719-5805,台北市松山區復興北路363號11樓,否,
732,國泰優勢收益傘型證券投資信託基金之富時人民幣短期報酬ETF 證券投資信託基金,富時中國國債及政策性銀行債券0-1 年精選指數,227008399,國外成分證券指數股票型基金,Cathay FTSE Chinese Government and Policy Bank Bond 0-1Year Select ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,鄭立誠,72958749,國泰證券投資信託股份有限公司,107/05/14,107/05/04,"772,000",台灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
733,富邦臺灣中小A級動能50 ETF證券投資信託基金,臺灣指數公司中小型A級動能50指數,(02)8771-6688,國內成分證券指數股票型基金,Fubon Taiwan Small-Mid Cap Alpha Momentum 50 ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,蘇筱婷,72960132,富邦證券投資信託股份有限公司,107/05/17,107/05/04,"27,966,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
735,國泰趨勢ETF傘型證券投資信託基金之臺韓科技證券投資信託基金,臺韓資訊科技指數,02-27008399,國外成分證券指數股票型基金,Cathay Korea/Taiwan IT Premier ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游日傑,72962758,國泰證券投資信託股份有限公司,107/06/11,107/05/29,"6,289,000",台灣集中保管結算所股份有限公司,02-27195805,台北市復興北路363號11樓,是,
736,國泰趨勢ETF傘型證券投資信託基金之富時新興市場證券投資信託基金,富時新興市場（納入A股）指數,227008399,國外成分證券指數股票型基金,Cathay FTSE Emerging Markets ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游凱卉,72962770,國泰投信,107/06/11,107/05/29,"6,727,000",台灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
737,國泰趨勢ETF傘型證券投資信託基金之納斯達克全球人工智慧及機器人證券投資信託基金,納斯達克 CTA 全球人工智慧及機器人指數,227008399,國外成分證券指數股票型基金,Cathay Nasdaq CTA Artificial Inteligence and Robotics ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游日傑,72962743,國泰證券投資信託股份有限公司,107/06/11,107/05/29,"27,538,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路365號2樓,是,
00738U,元大道瓊白銀ER指數股票型期貨信託基金,道瓊白銀ER指數,02-27175555,指數股票型期貨信託基金,Yuanta DJCI Silver ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,潘昶安,72962639,,107/06/01,107/05/23,"53,799,000",臺灣集中保管結算所股份有限公司,02-27195805,臺北市復興北路363號11樓,是,
739,元大MSCI中國A股國際通ETF證券投資信託基金,MSCI中國A股國際通指數,02-27175555,國外成分證券指數股票型基金,Yuanta MSCI CHINA  A  ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳重銓,72963026,,107/06/27,107/06/19,"35,488,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
742,新光特選內需收益ETF證券投資信託基金,臺灣指數公司特選內需高收益指數,(02)25071123,國內成分證券指數股票型基金,Shin Kong Domestic Demand High Dividend ETF,台北市中山區南京東路二段167號11樓,劉坤錫,陳文雄,陳文雄,吳文同,N/A,72964067,,107/06/22,107/06/12,"1,610,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
743,國泰新中國傘型證券投資信託基金之富時中國A150ETF證券投資信託基金,富時中國A150指數,227008399,國外成分證券指數股票型基金,Cathay FTSE China A150 ETF,台北市大安區敦化南路2段39號6樓,張錫,吳惠君,張雍川,張永輝,鄭立誠,72969582,國泰證券投資信託股份有限公司,107/08/03,107/07/25,"2,347,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
752,中國信託中國外資自由投資50不含A及B股傘型ETF證券投資信託基金之中國信託MSCI中國外資自由50不含A及B股ETF證券投資信託基金,MSCI中國外資自由投資50不含A及B股指數,26526688,國外成分證券指數股票型基金,CTBC MSCI China Free 50 ex A and B ETF,台北市南港區經貿二路188號12樓,陳國世,陳正華,陳正華(代理),黃伊芃,詹佳峰,73680588,,107/10/31,107/10/24,"419,716,000",中國信託證券投資信託股份有限公,26526688,台北市南港區經貿二路188號12樓,是,
00753L,中國信託中國外資自由投資50不含A及B股傘型ETF證券投資信託基金之中國信託MSCI中國外資自由投資50不含A及B股單日正向2倍ETF證券投資信託基金,MSCI中國外資自由投資50不含A及B股單日正向2倍指數,26526688,槓桿/反向指數股票型基金,CTBC MSCI China Free 50 ex A and B Daily Leveraged 2X ETF,台北市南港區經貿二路188號12樓,陳國世,陳正華,陳正華(代理),黃伊芃,詹佳峰,73680567,,107/10/31,107/10/24,"532,657,000",中國信託證券投資信託股份有限公,26526688,台北市南港區經貿二路188號12樓,是,
757,統一NYSE FANG+ ETF證券投資信託基金,NYSE FANG+ Index,02-27478388,國外成分證券指數股票型基金,UPAMC NYSE  FANG+ ETF,台北市東興路8號8樓,鄧潤澤,董永寬,董永寬,游麗美,袁永騰,73692389,,107/12/06,107/11/27,"182,494,000",統一證券投資信託股份有限公司,02-27478388,台北市東興路8號8樓,是,
762,元大全球人工智慧ETF證券投資信託基金,STOXX全球人工智慧指數,(02)27175555,國外成分證券指數股票型基金,Yuanta  STOXX  Global  Artificial Intelligence  ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,盧永祥,73694555,,108/01/23,108/01/16,"26,748,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
00763U,街口道瓊銅ER指數股票型期貨信託基金,道瓊銅ER指數 (Dow Jones Commodity Index North American Copper ER),2750-5555,指數股票型期貨信託基金,JKO Dow Jones Copper ER Futures ETF,10666臺北市大安區市民大道三段206號9樓,高武忠,王皓正,王皓正,N/A,林泳光,73710513,,107/12/19,107/12/12,"9,565,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,臺北市復興北路363號11樓,是,
00766L,台新MSCI中國外資自由投資單日正向2倍ETF證券投資信託基金,MSCI中國外資自由投資單日正向2倍指數,2501-3838,槓桿/反向指數股票型基金,Taishin MSCI China Free Leveraged 2X Daily ETF,台北市中山區德惠街9-1號1樓,吳光雄,葉柱均,葉柱均,NA,王嘉豪,74420409,NA,108/01/23,108/01/16,"1,946,000",台灣集中保管結算所股份有限公司,27195805,台北市復興北路363號11樓,是,
767,復華多元資產傘型證券投資信託基金之復華美國金融服務業股票ETF證券投資信託基金,道瓊斯美國金融服務業指數,(02)8161-6800,國外成分證券指數股票型基金,Fuh Hwa Dow Jones US Financial Services Equity ETF,台北市八德路二段308號8樓,杜俊雄,周輝啟,周輝啟,無,廖崇文,74423503,,108/01/28,108/01/15,"4,090,000",&nbsp;臺灣集中保管結算所股份有,(02)2719-5805,台北市復興北路363號11樓,是,
770,國泰標普北美科技ETF證券投資信託基金,標普北美科技行業指數,227008399,國外成分證券指數股票型基金,Cathay North American Technology ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,張家璇,74702435,國泰證券投資信託股份有限公司,108/01/29,108/01/22,"12,458,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
